Name,SNR,EventRate(Hz)
C01,5.89296,0.00889234
C02,4.37536,0.0500194
C03,7.29952,0.0300116
C04,7.64763,0.0322347
C05,9.67123,0.0722502
C07,8.75553,0.0466848
C08,5.92635,0.0600233
C09,8.92992,0.01445
C10,8.50368,0.012227
C11,5.26223,0.026677
C14,7.15394,0.0222308
C15,5.43811,0.0188962
C16,9.34605,0.0200078
C17,6.28608,0.0100039
C18,7.22774,0.0211193
C19,6.62739,0.0311232
C20,0,0
C21,8.78196,0.0111154
C22,4.52101,0.00555771
C23,8.4331,0.00889234
C24,6.27535,0.0344578
C25,6.18025,0.0311232
C26,6.53024,0.012227
C27,5.05415,0.0100039
C28,8.59297,0.00222308
C29,4.80551,0.0489079
C32,5.76995,0.0133385
C34,7.83458,0.0111154
C35,4.76884,0.00555771
C36,5.10169,0.00666925
C37,5.95199,0.0188962
C38,6.52033,0.00444617
C39,5.98423,0.00666925
C40,5.35624,0.00222308
C42,5.98046,0.00555771
C45,3.76437,0.00222308
C46,0,0
C47,4.10487,0.00666925
C48,0,0
