Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,rejected,0,0,0,355,381,4,22.2036,1
C01,accepted,255,0,0,433,268,1,18.6815,1
C02,accepted,117,255,239,275,101,1,18.7883,1
C03,accepted,146,255,252,338,250,1,18.7883,1
C04,accepted,0,85,255,276,200,1,17.4642,1
C05,accepted,255,0,0,203,279,1,17.4929,1
C06,rejected,0,0,0,479,279,1,22.0907,1
C07,accepted,0,85,255,181,197,1,24.0416,1
C08,accepted,85,255,255,245,210,1,18.3576,1
C09,accepted,0,85,255,317,264,2,21.2603,1
C10,accepted,85,255,255,251,149,1,18.868,1
C11,accepted,85,255,255,359,137,1,18.1108,1
C12,rejected,0,0,0,522,323,1,43.0813,1
C13,rejected,0,0,0,439,167,5,20.5183,1
C14,accepted,85,255,255,287,166,1,18.3576,1
C15,accepted,0,85,255,428,155,1,17.4642,1
C16,accepted,255,0,0,425,238,1,19.2354,1
C17,accepted,255,0,0,394,180,1,18.7883,1
C18,accepted,0,85,255,370,175,1,17.72,1
C19,accepted,0,0,0,424,223,1,19.0263,1
C20,accepted,0,0,0,404,145,1,21.9317,1
C21,accepted,255,0,0,452,165,1,19.2094,1
C22,accepted,0,85,255,274,227,1,18.0278,1
C23,accepted,0,85,255,406,300,2,18.7883,1
C24,accepted,0,0,0,150,178,1,31.0161,1
C25,accepted,0,0,0,265,142,1,21.4709,1
C26,accepted,0,85,255,311,286,3,19.2354,1
C27,accepted,0,0,0,460,172,1,18.9737,1
C28,accepted,255,0,0,422,282,1,19.7231,1
C29,accepted,255,0,0,449,247,1,17.2627,1
C30,accepted,0,0,0,350,153,4,25.9615,1
C31,accepted,0,0,0,466,388,2,24.1868,1
C32,accepted,255,0,0,343,200,1,18.3848,1
C33,rejected,0,0,0,461,357,5,23.3452,1
C34,accepted,255,0,0,287,191,1,17.4929,1
C35,accepted,255,0,0,203,217,1,19.9249,1
C36,rejected,0,0,0,467,285,1,21.9317,1
C37,accepted,255,0,0,234,300,1,23.6008,1
C38,accepted,255,0,0,389,310,1,19.105,1
C39,rejected,0,0,0,360,311,2,21.8403,1
C40,accepted,0,85,255,414,144,1,20.2485,1
C41,rejected,0,0,0,281,209,1,19.105,1
C42,accepted,0,255,255,409,224,1,18.1108,1
C43,rejected,0,0,0,435,316,1,24.0416,1
C44,rejected,0,0,0,360,370,1,30.0666,1
C45,accepted,255,0,0,381,132,1,22.4722,1
C46,rejected,0,0,0,311,223,1,18.0278,1
C47,rejected,0,0,0,226,174,1,17.2047,1
C48,rejected,0,0,0,298,202,1,19.6977,1
C49,rejected,0,0,0,358,375,2,30.2655,1
